nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:53:06,114] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DDP 패션몰 (FC004261)
[2026-05-12 17:53:06,114] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003882
[2026-05-12 17:53:06,454] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DGT 아트센터 (FC003882)
[2026-05-12 17:53:06,454] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002723
[2026-05-12 17:53:06,793] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DMZ 박물관 [고성] (FC002723)
[2026-05-12 17:53:06,793] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004418
[2026-05-12 17:53:07,127] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DOT [수원] (FC004418)
[2026-05-12 17:53:07,127] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002003
[2026-05-12 17:53:07,465] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DS ART HALL(창선당) (FC002003)
[2026-05-12 17:53:07,465] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003694
[2026-05-12 17:53:07,814] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DSM 아트홀 (FC003694)
[2026-05-12 17:53:07,814] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004680
[2026-05-12 17:53:08,156] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: EBS 스페이스홀 (FC004680)
[2026-05-12 17:53:08,156] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004530
[2026-05-12 17:53:08,503] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Emo LAB (FC004530)
[2026-05-12 17:53:08,503] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001784
[2026-05-12 17:53:08,857] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: F1963 (FC001784)
[2026-05-12 17:53:08,858] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004858
[2026-05-12 17:53:09,231] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: FENICE SACAY (오사카) (FC004858)
[2026-05-12 17:53:09,231] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003455
[2026-05-12 17:53:09,720] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: G#하우스 (FC003455)
[2026-05-12 17:53:09,720] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004390
[2026-05-12 17:53:10,068] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: GAG Space (FC004390)
[2026-05-12 17:53:10,068] INFO apps.performances.kopis.client [KOPIS] venues list: page=2
[2026-05-12 17:53:10,423] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001405
[2026-05-12 17:53:10,777] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: GBB스페이스홀 (구. 임혁필소극장) (FC001405)
[2026-05-12 17:53:10,777] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001832
